particle	component	position_label	corruption_mode	eval_mode	target_type	top_k	site_set_type	effect_score_mean	effect_score_mean_ci_low	effect_score_mean_ci_high	method	run_label	run_label_pretty	run_dir	native_particle	effect_score_original_mean	effect_score_original_ci_low	effect_score_original_ci_high	metric_sign_convention
nonexclusive_just_to_only	resid	utterance_final	prompt_without	necessity	gold	3	random_mean	0.004150974992877	0.0040985524509671	0.0042033975347868	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		-0.004150974992877	-0.0042033975347868	-0.0040985524509671	patched_minus_baseline
nonexclusive_just_to_only	resid	utterance_final	prompt_without	necessity	gold	5	localized	-0.0117317593996982	-0.0197917034033282	-0.0036718153960681	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0117317593996982	0.0036718153960681	0.0197917034033282	patched_minus_baseline
nonexclusive_just_to_only	resid	utterance_final	prompt_without	necessity	gold	5	random_mean	0.0033154365254274	0.0017059401259731	0.0049249329248817	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		-0.0033154365254274	-0.0049249329248817	-0.0017059401259731	patched_minus_baseline
nonexclusive_just_to_only	resid	utterance_final	prompt_without	necessity	gold	10	localized	-0.0114673523709071	-0.0205202172303719	-0.0024144875114423	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0114673523709071	0.0024144875114423	0.0205202172303719	patched_minus_baseline
nonexclusive_just_to_only	resid	utterance_final	prompt_without	necessity	gold	10	random_mean	0.0083878849426608	0.0070624376345079	0.0097133322508136	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		-0.0083878849426608	-0.0097133322508136	-0.0070624376345079	patched_minus_baseline
only_to_nonexclusive_just	attn	utterance_final	prompt_without	necessity	generated	1	localized	-0.0009309286975252	-0.0012645728253171	-0.0005972845697333	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/only_to_nonexclusive_just		0.0009309286975252	0.0005972845697333	0.0012645728253171	patched_minus_baseline
only_to_nonexclusive_just	attn	utterance_final	prompt_without	necessity	generated	1	random_mean	-0.0002636382329286	-0.0002679807299778	-0.0002592957358794	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/only_to_nonexclusive_just		0.0002636382329286	0.0002592957358794	0.0002679807299778	patched_minus_baseline
only_to_nonexclusive_just	attn	utterance_final	prompt_without	necessity	generated	3	localized	-0.0045026972863311	-0.0045435391275423	-0.00446185544512	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/only_to_nonexclusive_just		0.0045026972863311	0.00446185544512	0.0045435391275423	patched_minus_baseline
only_to_nonexclusive_just	attn	utterance_final	prompt_without	necessity	generated	3	random_mean	-0.0004361377012032	-0.0005598658080312	-0.0003124095943752	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/only_to_nonexclusive_just		0.0004361377012032	0.0003124095943752	0.0005598658080312	patched_minus_baseline
only_to_nonexclusive_just	attn	utterance_final	prompt_without	necessity	generated	5	localized	-0.0068082956051299	-0.0074229167652976	-0.0061936744449621	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/only_to_nonexclusive_just		0.0068082956051299	0.0061936744449621	0.0074229167652976	patched_minus_baseline
