source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_weighted_win_rate	p_mean_advantage	p_weighted_advantage	p_top1_win	p_top1_advantage	p_prime_win_rate	p_prime_weighted_win_rate	p_prime_mean_advantage	p_prime_weighted_advantage	p_prime_top1_win	p_prime_top1_advantage	both_mean_advantages_positive	both_top1_own_context_wins	source_file	model_dir	model_label	model_order	condition	condition_label
only	discourse_particle	5	687	only	h	50	50	1	0.0101010101010101	0.58	0.197991481559946	0.0665236377716064	-0.0193353144452605	0.0	-0.3969497680664062	0.62	0.8897736597922958	0.2325675821304321	0.0420126630771294	1.0	0.2479488849639892	True	False	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
only	discourse_particle	6	745	only	h	50	50	0	0.0	0.62	0.2777650410418129	0.1112513136863708	-0.0312713279111899	1.0	1.0520915985107422	0.54	0.5040191425958905	-0.0373546528816223	0.0371944698297927	0.0	-0.1607227325439453	False	False	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
only	discourse_particle	7	794	only	h	50	50	0	0.0	0.66	0.8126697382715851	0.446023473739624	0.3585189999767481	0.0	-0.158203125	0.66	0.9872319865102304	0.1749352216720581	0.0956361721535336	0.0	-0.0931854248046875	True	False	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
only	discourse_particle	8	965	only	h	50	50	2	0.0204081632653061	0.62	0.1338817506728113	0.2061487197875976	-0.1123813043343157	0.0	-0.707763671875	0.6	0.9059115244327294	0.204874267578125	0.0982800487039737	0.0	-0.3017311096191406	True	False	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
only	discourse_particle	9	966	only	h	50	50	0	0.0	0.6	0.9574956796122466	0.0552163505554199	0.285754431290359	1.0	0.145599365234375	0.48	0.4252780127065824	0.1408926677703857	0.0111076787664029	0.0	-0.1704635620117187	True	False	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
only	discourse_particle	10	1038	only	h	50	50	7	0.075268817204301	0.42	0.4559016887794058	0.1486474967002868	0.5821593502398641	0.0	-0.3088607788085937	0.82	0.9650860346094964	0.6017015171051026	0.5058127448463998	1.0	1.8095703125	True	False	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
only	discourse_particle	11	1142	only	h	50	50	0	0.0	0.56	0.7208636509049173	0.1730708694458007	0.2385445889454601	0.0	-0.0036468505859375	0.5	0.8259485669988258	0.0805875205993652	0.1504792851717785	1.0	0.565521240234375	True	False	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
only	discourse_particle	12	1272	only	h	50	50	0	0.0	0.5	0.8644045445736761	0.1078165435791015	0.0459223111475149	0.0	-0.250802993774414	0.7	0.3604924446315319	0.1740755844116211	0.0579304951476093	1.0	0.181610107421875	True	False	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
only	discourse_particle	13	1368	only	h	50	50	6	0.0638297872340425	0.7	0.1289584130721833	0.3706232595443726	-0.0104239852934804	1.0	0.6494140625	0.7	0.793866810568177	0.3262495803833007	0.1036185315016026	1.0	0.232421875	True	True	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
only	discourse_particle	14	1446	only	h	50	50	0	0.0	0.54	0.5026294510054939	0.1203289747238159	-0.1250070249379079	1.0	0.0692596435546875	0.56	0.0837532431325364	0.0258386850357055	-0.1517409183862567	1.0	0.0172348022460937	True	True	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
only	discourse_particle	15	1493	only	h	50	50	1	0.0101010101010101	0.8	0.990206189011658	0.522623291015625	0.0403531668828815	1.0	0.079742431640625	0.6	0.0026129650682585	0.3460438728332519	-0.0405054490116135	1.0	0.8406982421875	True	True	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
only	discourse_particle	16	1538	only	h	50	50	2	0.0204081632653061	0.46	0.001764414548907	-0.0014232063293457	-0.2694410882650623	0.0	-0.9657440185546876	0.6	0.8676348324748657	0.1576194763183593	0.2287208635986417	0.0	-1.1962890625	False	False	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
